"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"238402_s_at",-0.388040798226165,5.47753460992908,-2.17911248323815,0.0310083723945082,0.0502338995955067,-5.06857250266224
"200761_s_at",-0.39707853658536,12.2719367375887,-2.17904932669396,0.0310131631477991,0.0502389362135569,-5.06870604095134
"202345_s_at",0.849042682926827,10.5881387943262,2.17891235901942,0.0310235550668556,0.0502530452506332,-5.06899563318541
"210846_x_at",0.178220909090909,3.99058914893617,2.17882617224601,0.0310300957201181,0.0502609146802086,-5.0691778500992
"241470_x_at",-0.539939135254991,3.26534787234043,-2.17859013668414,0.0310480144169892,0.0502872118129862,-5.06967684432424
"243846_x_at",-0.270308292682926,4.51526666666667,-2.17778297705217,0.0311093579906072,0.0503838357957934,-5.07138284979229
"224886_at",-0.371098758314857,6.57061716312057,-2.17761199223635,0.0311223662052204,0.0504021709665266,-5.0717441660199
"218963_s_at",2.18849944567628,8.66450290780142,2.17758058123752,0.0311247564099888,0.0504033093855693,-5.07181053923012
"232670_at",-0.332438802660752,6.57211056737589,-2.17741570022927,0.0311373055625252,0.0504208981498978,-5.0721589274271
"207001_x_at",0.482885698447896,6.33591014184397,2.17719974109639,0.0311537489284267,0.0504447905978043,-5.07261520477461
"225449_at",0.365599379157428,4.76608021276596,2.17702217354264,0.0311672747596763,0.0504639565797187,-5.07299033693168
"227815_at",-0.473626363636363,6.33245340425532,-2.17673755120718,0.0311889658878377,0.0504939659648357,-5.07359157519307
"223132_s_at",-0.421729578713968,8.09451773049645,-2.17673461705178,0.0311891895686121,0.0504939659648357,-5.07359777294169
"208712_at",-1.05996119733925,8.75019581560284,-2.17662700035046,0.031197394521987,0.0505045123587123,-5.07382508382144
"212303_x_at",-0.480545764966739,5.99610929078014,-2.17658501213274,0.031200596311322,0.0505069585785262,-5.07391376961369
"226268_at",-0.445887228381375,5.87699971631206,-2.17618350699755,0.0312312272694489,0.0505538039675019,-5.07476173162068
"227279_at",-0.619362305986695,8.45875092198582,-2.1759682063005,0.0312476633707216,0.0505773132912607,-5.07521637749146
"223285_s_at",0.351110066518847,4.03421638297872,2.17594890685579,0.0312491370607839,0.0505773132912607,-5.07525712966399
"222909_s_at",0.741135875831485,4.92874170212766,2.17559192352656,0.0312764068921837,0.0506187075029907,-5.0760108649004
"238462_at",0.747249401330378,3.71797730496454,2.17546678700033,0.0312859709118257,0.0506314431469185,-5.07627505104679
"221188_s_at",0.791546629711751,5.03154964539007,2.17504172675147,0.0313184766490477,0.0506813029760022,-5.07717232517707
"213130_at",-0.328455365853658,3.81024730496454,-2.17499436026929,0.0313221007308684,0.050684422032026,-5.07727230255438
"228334_x_at",-0.390404988913525,8.07208134751773,-2.17495704574887,0.0313249559778613,0.050686296713609,-5.07735106162387
"239778_x_at",-0.427177827050998,5.26222170212766,-2.17452756189464,0.0313578356443232,0.0507367504849086,-5.07825747441583
"205322_s_at",0.348810798226164,7.66545063829787,2.17426060800109,0.031378287708204,0.0507670921093575,-5.07882078834771
"230730_at",-0.626665232815964,3.43638120567376,-2.17422042905549,0.0313813669278056,0.0507693243560432,-5.07890556653391
"211674_x_at",1.74961636363636,2.25834489361702,2.17419755200834,0.0313831202877989,0.0507694114782528,-5.07895383679753
"227236_at",1.10437955654102,3.9217865248227,2.17397132396376,0.0314004636033447,0.0507945409509523,-5.07943114940734
"223945_x_at",-0.30247219512195,7.07452943262411,-2.17395057398398,0.0314020547746188,0.0507945409509523,-5.07947492692216
"229629_at",0.912060953436807,3.08038588652482,2.17328397450153,0.0314532088564231,0.0508745307362569,-5.08088108539439
"1566966_at",-0.360287006651885,3.09786971631206,-2.1723903709932,0.0315218963093837,0.050982869975648,-5.08276546567366
"221512_at",-0.326658248337028,7.03385879432624,-2.17221120155658,0.0315356839331658,0.0510024084313497,-5.08314320087614
"208797_s_at",-0.385250221729491,4.29376723404255,-2.17197376958893,0.031553963087949,0.0510292084953606,-5.08364372362641
